id;titulo;titulo_ingles;valoracion;generos;tipo
264;Hajime no Ippo: Champion Road;Fighting Spirit: Champion Road;8.35;Comedy|Shounen|Sports;Special
265;Hajime no Ippo: Mashiba vs. Kimura;;8.26;Comedy|Shounen|Sports;OVA
266;Gunparade March: Arata Naru Kougunka;Gunparade March: A New Song for the March;6.89;Drama|Mecha|Military|Romance|Sci-Fi|Shounen|Slice of Life;TV
267;Gungrave;Gungrave;7.93;Action|Drama|Sci-Fi|Seinen|Super Power;TV
268;Golden Boy;Golden Boy;8.04;Adventure|Comedy|Ecchi;OVA
269;Bleach;Bleach;7.89;Action|Adventure|Comedy|Super Power|Supernatural|Shounen;TV
270;Hellsing;Hellsing;7.60;Action|Horror|Supernatural|Vampire|Seinen;TV
271;Gad Guard;;6.77;Sci-Fi|Adventure|Mecha|Shounen;TV
272;Noir;Noir;7.37;Action|Mystery|Drama;TV
273;Mahoutsukai ni Taisetsu na Koto;Someday's Dreamers;6.83;Slice of Life|Drama|Magic|Shounen;TV
274;Kiddy Grade;Kiddy Grade;7.27;Action|Sci-Fi|Super Power|Ecchi|Mecha;TV
275;Love♥Love?;Love♥Love?;5.99;Ecchi|Comedy|Harem|Romance;TV
276;Mahoromatic: Automatic Maiden;Mahoromatic: Automatic Maiden;7.25;Comedy|Ecchi|Military|Romance|Sci-Fi;TV
277;Mahoromatic 2;Mahoromatic ~Something More Beautiful~;7.24;Comedy|Drama|Ecchi|Military|Romance|Sci-Fi;TV
278;Viewtiful Joe;;6.84;Action|Sci-Fi|Comedy|Shounen;TV
